año,mes,ventas,ingresos,costos,margen,margen_porcentaje,ventas_financiadas,num_financiadas,periodo,tasa_financiacion
2020,1,6,232470.0,433317.0,-200847.0,-3772.8094861368213,180171.0,3,2020-01,77.50290360046458
2020,2,2,140394.0,111292.0,29102.0,18.833331069126167,41359.0,1,2020-02,29.45923614969301
2020,3,3,262107.0,220385.0,41722.0,16.486795056172465,262107.0,3,2020-03,100.0
2020,4,5,137746.0,238318.0,-100572.0,-2600.388750837513,109035.0,2,2020-04,79.15656352997547
2020,5,5,182756.0,331111.0,-148355.0,-3445.772841540917,160269.0,3,2020-05,87.69561601260698
2020,6,5,139991.0,533253.0,-393262.0,-8406.827969792119,2000.0,2,2020-06,1.428663271210292
2020,7,3,76758.0,260475.0,-183717.0,-6773.953340110757,1000.0,1,2020-07,1.3027957997863415
2020,8,2,36492.0,64821.0,-28329.0,-1761.7392933618844,1000.0,1,2020-08,2.740326646936315
2020,9,1,60548.0,47210.0,13338.0,22.028803593842902,0.0,0,2020-09,0.0
2020,10,2,120805.0,137776.0,-16971.0,-1647.2274091231586,119805.0,1,2020-10,99.1722196928935
2020,11,4,200837.0,334151.0,50608.0,25.573210339990908,200837.0,2,2020-11,100.0
2020,12,6,403349.0,458737.0,-55388.0,-2416.4258017564257,114162.0,3,2020-12,28.30352870590977
2021,1,2,61192.0,66097.0,-4905.0,-791.3736908559277,1000.0,1,2021-01,1.6342005490913845
2021,2,5,279812.0,312609.0,-32797.0,-2049.1322867831964,0.0,0,2021-02,0.0
2021,3,5,360341.0,383728.0,-23387.0,-1722.6766962412798,142837.0,2,2021-03,39.639397126610625
2021,4,5,287841.0,232612.0,55229.0,16.57988923637125,123856.0,1,2021-04,43.02931132118079
2021,5,2,36791.0,116536.0,-79745.0,-4297.725968818976,1000.0,1,2021-05,2.718056046315675
2021,7,2,2000.0,64027.0,-62027.0,-3101.35,0.0,0,2021-07,0.0
2021,8,1,129171.0,107641.0,21530.0,16.667827918031136,0.0,0,2021-08,0.0
2021,9,4,216920.0,315295.0,-98375.0,-3687.793524754517,214920.0,2,2021-09,99.07800110639867
2021,10,8,538626.0,482985.0,55641.0,-574.1214496793632,326454.0,6,2021-10,60.60865981218879
2021,11,8,545358.0,573229.0,-27871.0,-1631.4305870849519,221528.0,4,2021-11,40.620656522871215
2021,12,2,96850.0,100686.0,-3836.0,-1256.7720396452792,95850.0,1,2021-12,98.96747547754259
2022,1,4,103576.0,361371.0,-190842.0,-6845.189808616208,101576.0,1,2022-01,98.0690507453464
2022,2,3,266523.0,209609.0,56914.0,17.016250820591974,0.0,0,2022-02,0.0
2022,3,4,352489.0,328127.0,24362.0,-834.4093730741608,352489.0,4,2022-03,100.0
2022,4,3,153146.0,168628.0,-15482.0,-1454.4683534790681,60817.0,1,2022-04,39.711778303057216
2022,5,5,469650.0,367990.0,101660.0,19.24493741005495,328698.0,3,2022-05,69.98786330245927
2022,6,3,124641.0,191152.0,-66511.0,-2848.649157803704,123641.0,2,2022-06,99.19769578228673
2022,7,1,52138.0,47774.0,4364.0,8.37009474855192,0.0,0,2022-07,0.0
2022,8,4,357164.0,298127.0,59037.0,18.066083661103605,179418.0,2,2022-08,50.234066143284316
2022,9,5,539914.0,426458.0,113456.0,18.70378894892183,508262.0,4,2022-09,94.13758487462817
2022,10,5,227209.0,363460.0,-136251.0,-3372.5264519011007,21429.0,1,2022-10,9.43140456584026
2022,11,4,283273.0,340771.0,-57498.0,-2873.1103234646152,68676.0,2,2022-11,24.24375072809622
2022,12,3,167415.0,259119.0,-91704.0,-3421.368783201902,167415.0,3,2022-12,100.0
2023,1,4,323551.0,352569.0,-29018.0,-2290.2574705254056,98642.0,2,2023-01,30.48731111942167
2023,2,3,127844.0,215310.0,-87466.0,-3370.0420577241184,1000.0,1,2023-02,0.7822033102844091
2023,3,4,173722.0,132251.0,41471.0,22.400650017737526,58178.0,1,2023-03,33.48913781789295
2023,4,6,138000.0,331402.0,-193402.0,-3649.4697852988197,116056.0,4,2023-04,84.09855072463768
2023,5,2,231575.0,185285.0,46290.0,18.648616152153174,231575.0,2,2023-05,100.0
2023,6,8,315266.0,485414.0,-170148.0,-2707.5117646975764,2000.0,2,2023-06,0.6343849320890931
2023,7,4,254205.0,246119.0,8086.0,-592.3268505964106,183150.0,2,2023-07,72.04815011506462
2023,8,4,161508.0,316831.0,-155323.0,-4276.86212045107,94701.0,1,2023-08,58.63548554870347
2023,9,4,432099.0,355424.0,76675.0,17.62026258980962,109924.0,1,2023-09,25.43954047567803
2023,10,7,512044.0,421539.0,90505.0,16.999768727580808,381233.0,5,2023-10,74.45317199303186
2023,11,6,341397.0,353172.0,-11775.0,-899.0476498190723,188079.0,4,2023-11,55.090993769716775
2023,12,3,272593.0,214046.0,58547.0,21.268064482982037,26624.0,1,2023-12,9.766941924407451
2024,1,8,194206.0,350353.0,-121908.0,-2194.0806885630354,116823.0,5,2024-01,60.154166194659275
2024,2,2,142699.0,108637.0,34062.0,22.38715260358184,36239.0,1,2024-02,25.395412721883126
2024,3,5,346976.0,265491.0,81485.0,23.356165389543428,66199.0,1,2024-03,19.078841187863137
2024,4,5,455671.0,377667.0,78004.0,15.576627512214845,229162.0,2,2024-04,50.291109155509126
2024,5,6,314096.0,279747.0,34349.0,10.682925812826403,189580.0,3,2024-05,60.35734297794305
