año,mes,nombre_mes,trimestre,num_ventas,ingresos_totales,ticket_promedio,ganancia_total,clientes_unicos,periodo
2020,1,January,1,6,232470.0,38745.0,-200847.0,6,2020-01
2020,2,February,1,2,140394.0,70197.0,29102.0,2,2020-02
2020,3,March,1,3,262107.0,87369.0,41722.0,3,2020-03
2020,4,April,2,5,137746.0,27549.2,-100572.0,5,2020-04
2020,5,May,2,5,182756.0,36551.2,-148355.0,5,2020-05
2020,6,June,2,5,139991.0,27998.2,-393262.0,5,2020-06
2020,7,July,3,3,76758.0,25586.0,-183717.0,3,2020-07
2020,8,August,3,2,36492.0,18246.0,-28329.0,2,2020-08
2020,9,September,3,1,60548.0,60548.0,13338.0,1,2020-09
2020,10,October,4,2,120805.0,60402.5,-16971.0,2,2020-10
2020,11,November,4,4,200837.0,100418.5,50608.0,4,2020-11
2020,12,December,4,6,403349.0,67224.83333333333,-55388.0,6,2020-12
2021,1,January,1,2,61192.0,30596.0,-4905.0,2,2021-01
2021,2,February,1,5,279812.0,55962.4,-32797.0,5,2021-02
2021,3,March,1,5,360341.0,72068.2,-23387.0,5,2021-03
2021,4,April,2,5,287841.0,57568.2,55229.0,5,2021-04
2021,5,May,2,2,36791.0,18395.5,-79745.0,2,2021-05
2021,7,July,3,2,2000.0,1000.0,-62027.0,2,2021-07
2021,8,August,3,1,129171.0,129171.0,21530.0,1,2021-08
2021,9,September,3,4,216920.0,54230.0,-98375.0,4,2021-09
2021,10,October,4,8,538626.0,67328.25,55641.0,8,2021-10
2021,11,November,4,8,545358.0,68169.75,-27871.0,8,2021-11
2021,12,December,4,2,96850.0,48425.0,-3836.0,2,2021-12
2022,1,January,1,4,103576.0,34525.333333333336,-190842.0,4,2022-01
2022,2,February,1,3,266523.0,88841.0,56914.0,3,2022-02
2022,3,March,1,4,352489.0,88122.25,24362.0,4,2022-03
2022,4,April,2,3,153146.0,51048.666666666664,-15482.0,3,2022-04
2022,5,May,2,5,469650.0,93930.0,101660.0,5,2022-05
2022,6,June,2,3,124641.0,41547.0,-66511.0,3,2022-06
2022,7,July,3,1,52138.0,52138.0,4364.0,1,2022-07
2022,8,August,3,4,357164.0,89291.0,59037.0,4,2022-08
2022,9,September,3,5,539914.0,107982.8,113456.0,5,2022-09
2022,10,October,4,5,227209.0,45441.8,-136251.0,5,2022-10
2022,11,November,4,4,283273.0,70818.25,-57498.0,4,2022-11
2022,12,December,4,3,167415.0,55805.0,-91704.0,3,2022-12
2023,1,January,1,4,323551.0,80887.75,-29018.0,4,2023-01
2023,2,February,1,3,127844.0,42614.666666666664,-87466.0,3,2023-02
2023,3,March,1,4,173722.0,43430.5,41471.0,4,2023-03
2023,4,April,2,6,138000.0,23000.0,-193402.0,6,2023-04
2023,5,May,2,2,231575.0,115787.5,46290.0,2,2023-05
2023,6,June,2,8,315266.0,39408.25,-170148.0,8,2023-06
2023,7,July,3,4,254205.0,63551.25,8086.0,4,2023-07
2023,8,August,3,4,161508.0,40377.0,-155323.0,4,2023-08
2023,9,September,3,4,432099.0,108024.75,76675.0,4,2023-09
2023,10,October,4,7,512044.0,73149.14285714286,90505.0,7,2023-10
2023,11,November,4,6,341397.0,56899.5,-11775.0,6,2023-11
2023,12,December,4,3,272593.0,90864.33333333333,58547.0,3,2023-12
2024,1,January,1,8,194206.0,27743.714285714286,-121908.0,8,2024-01
2024,2,February,1,2,142699.0,71349.5,34062.0,2,2024-02
2024,3,March,1,5,346976.0,69395.2,81485.0,5,2024-03
2024,4,April,2,5,455671.0,91134.2,78004.0,5,2024-04
2024,5,May,2,6,314096.0,52349.333333333336,34349.0,6,2024-05
2024,6,June,2,5,262304.0,52460.8,-66427.0,5,2024-06
2024,7,July,3,2,74698.0,37349.0,17802.0,2,2024-07
2024,8,August,3,4,301876.0,75469.0,-37402.0,4,2024-08
2024,9,September,3,2,134144.0,67072.0,-66815.0,2,2024-09
2024,10,October,4,7,395814.0,56544.857142857145,-188170.0,7,2024-10
2024,11,November,4,3,270667.0,90222.33333333333,37492.0,3,2024-11
2024,12,December,4,6,725277.0,120879.5,151229.0,6,2024-12
