año,mes,nombre_mes,trimestre,num_ventas,ingresos_totales,ticket_promedio,ganancia_total,clientes_unicos
2020,1,January,1,37,2369143.5,64030.90540540541,439128.5,36
2020,2,February,1,24,1455350.25,60639.59375,84348.25,23
2020,3,March,1,30,1895396.95,63179.89833333333,283602.95,28
2020,4,April,2,38,2309773.6,60783.515789473684,192959.6,36
2020,5,May,2,29,1805306.35,62251.94310344828,135905.34999999998,28
2020,6,June,2,35,2175763.45,62164.670000000006,315715.44999999995,35
2020,7,July,3,45,2660185.75,59115.23888888889,150858.75,43
2020,8,August,3,30,1869404.4000000001,62313.48,203893.40000000005,27
2020,9,September,3,34,2045375.85,60158.11323529412,186730.85000000003,32
2020,10,October,4,31,1817561.9,58631.02903225806,157735.9,28
2020,11,November,4,37,2146996.75,58026.93918918919,177975.74999999997,36
2020,12,December,4,27,1550607.15,57429.89444444444,205089.15,25
2021,1,January,1,40,2413870.15,60346.753749999996,225691.14999999997,40
2021,2,February,1,31,1973495.55,63661.14677419355,246672.54999999996,31
2021,3,March,1,29,1859414.85,64117.753448275864,271880.85,28
2021,4,April,2,21,1374875.05,65470.240476190476,236310.05000000002,21
2021,5,May,2,26,1599486.15,61518.69807692307,339920.15,25
2021,6,June,2,41,2241164.75,54662.55487804878,-17932.249999999978,40
2021,7,July,3,20,1164302.35,58215.11750000001,43774.350000000006,18
2021,8,August,3,26,1457256.45,56048.325,-32719.54999999999,25
2021,9,September,3,31,1954499.55,63048.37258064516,246626.55000000002,29
2021,10,October,4,25,1459530.05,58381.202000000005,-107824.95,25
2021,11,November,4,34,2100697.85,61785.230882352946,286848.85000000003,32
2021,12,December,4,24,1374999.5,57291.645833333336,42331.50000000001,24
2022,1,January,1,21,1298418.55,61829.454761904766,192158.55,21
2022,2,February,1,23,1360118.8,59135.6,141496.79999999993,23
2022,3,March,1,26,1590295.85,61165.225000000006,178984.85,26
2022,4,April,2,35,1958881.75,55968.05,134992.75,34
2022,5,May,2,22,1225069.95,55684.99772727273,-102171.05000000002,21
2022,6,June,2,28,1690094.85,60360.53035714286,68190.85,27
2022,7,July,3,38,2514233.4,66164.03684210526,439748.39999999997,37
2022,8,August,3,38,2300318.25,60534.69078947369,152144.25,34
2022,9,September,3,27,1641082.0,60780.81481481482,323002.0,27
2022,10,October,4,40,2396432.05,59910.80125,326756.05,39
2022,11,November,4,26,1432647.55,55101.82884615385,-37579.44999999998,24
2022,12,December,4,32,1951447.05,60982.7203125,217964.05,32
2023,1,January,1,26,1493147.1,57428.734615384616,-66870.90000000001,24
2023,2,February,1,32,2009033.95,62782.3109375,291981.94999999995,31
2023,3,March,1,35,2057159.15,58775.97571428571,125964.15000000001,34
2023,4,April,2,43,2563384.1,59613.58372093023,86115.09999999999,41
2023,5,May,2,38,2265850.5,59627.64473684211,326024.5,38
2023,6,June,2,38,2370855.5,62390.93421052631,367854.5,36
2023,7,July,3,27,1626633.2,60245.67407407407,193348.2,26
2023,8,August,3,31,1914304.7,61751.76451612903,245968.69999999998,31
2023,9,September,3,34,2191816.6,64465.194117647065,400309.60000000003,34
2023,10,October,4,31,1751618.25,56503.81451612903,22093.25000000002,30
2023,11,November,4,38,2484822.2,65390.05789473685,419486.2,35
2023,12,December,4,28,1889699.15,67489.25535714286,408568.15,28
2024,1,January,1,36,2156007.45,59889.09583333334,290944.45,35
2024,2,February,1,34,2088637.75,61430.52205882353,221677.75,34
2024,3,March,1,37,2108087.55,56975.33918918918,17299.550000000007,36
2024,4,April,2,28,1527436.65,54551.30892857142,86887.65,25
2024,5,May,2,36,2270192.2,63060.89444444445,334875.2,34
2024,6,June,2,33,1897031.8,57485.812121212126,119169.79999999999,32
2024,7,July,3,39,2218190.35,56876.67564102564,-115802.65,38
2024,8,August,3,38,2353815.6,61942.515789473684,272480.6,36
2024,9,September,3,27,1597228.45,59156.609259259254,71006.45000000001,27
2024,10,October,4,24,1531298.65,63804.11041666666,203556.65000000002,24
2024,11,November,4,26,1680447.3,64632.588461538464,233922.3,26
2024,12,December,4,33,2132657.2,64625.97575757576,330476.19999999995,32
2025,1,January,1,38,2418662.35,63649.00921052632,400308.3500000001,32
