año,mes,nombre_mes,trimestre,num_ventas,ingresos_totales,ticket_promedio,ganancia_total,clientes_unicos,periodo
2020,1,January,1,4,204359.0,51089.75,-19056.0,4,2020-01
2020,2,February,1,6,374231.0,62371.833333333336,-60880.0,6,2020-02
2020,3,March,1,5,360495.0,72099.0,-90028.0,5,2020-03
2020,4,April,2,4,450401.0,112600.25,66312.0,4,2020-04
2020,5,May,2,3,222346.0,74115.33333333333,42348.0,3,2020-05
2020,6,June,2,1,53895.0,53895.0,9446.0,1,2020-06
2020,7,July,3,7,708498.0,101214.0,39127.0,7,2020-07
2020,8,August,3,4,243332.0,60833.0,-22907.0,4,2020-08
2020,9,September,3,6,380258.0,63376.333333333336,-125207.0,6,2020-09
2020,10,October,4,6,243232.0,40538.666666666664,-109717.0,6,2020-10
2020,11,November,4,8,392534.0,49066.75,-94348.0,8,2020-11
2020,12,December,4,4,208560.0,52140.0,-28964.0,4,2020-12
2021,1,January,1,4,317161.0,79290.25,59347.0,4,2021-01
2021,2,February,1,3,36194.0,12064.666666666666,-69969.0,3,2021-02
2021,3,March,1,7,434739.0,62105.57142857143,-24853.0,7,2021-03
2021,4,April,2,5,429077.0,85815.4,84526.0,5,2021-04
2021,5,May,2,8,691241.0,86405.125,78081.0,8,2021-05
2021,6,June,2,2,58924.0,58924.0,12174.0,2,2021-06
2021,7,July,3,3,86934.0,28978.0,-84235.0,3,2021-07
2021,8,August,3,8,512478.0,73211.14285714286,63369.0,8,2021-08
2021,9,September,3,2,279859.0,139929.5,59732.0,2,2021-09
2021,10,October,4,5,327513.0,65502.6,-51936.0,5,2021-10
2021,11,November,4,5,191611.0,38322.2,-45891.0,5,2021-11
2021,12,December,4,3,183690.0,61230.0,31164.0,3,2021-12
2022,1,January,1,5,321992.0,64398.4,11441.0,5,2022-01
2022,2,February,1,2,52771.0,26385.5,8666.0,2,2022-02
2022,3,March,1,3,107494.0,35831.333333333336,19606.0,3,2022-03
2022,4,April,2,5,363850.0,72770.0,-157478.0,5,2022-04
2022,5,May,2,4,124403.0,31100.75,-46284.0,4,2022-05
2022,6,June,2,2,225580.0,112790.0,49407.0,2,2022-06
2022,7,July,3,4,334982.0,83745.5,-4719.0,4,2022-07
2022,8,August,3,2,131965.0,65982.5,26809.0,2,2022-08
2022,9,September,3,2,123956.0,61978.0,11115.0,2,2022-09
2022,10,October,4,4,114040.0,28510.0,-123560.0,4,2022-10
2022,11,November,4,1,58531.0,58531.0,11576.0,1,2022-11
2022,12,December,4,4,155849.0,38962.25,-91891.0,4,2022-12
2023,1,January,1,4,217695.0,54423.75,32888.0,4,2023-01
2023,2,February,1,4,224044.0,56011.0,-42400.0,4,2023-02
2023,3,March,1,3,302878.0,100959.33333333333,47678.0,3,2023-03
2023,4,April,2,2,133036.0,66518.0,26676.0,2,2023-04
2023,5,May,2,5,206190.0,41238.0,-125760.0,5,2023-05
2023,6,June,2,4,128132.0,32033.0,-23214.0,4,2023-06
2023,7,July,3,1,41720.0,41720.0,3973.0,1,2023-07
2023,8,August,3,2,29955.0,14977.5,-22106.0,2,2023-08
2023,9,September,3,4,281873.0,70468.25,-32333.0,4,2023-09
2023,10,October,4,4,115397.0,28849.25,-234568.0,4,2023-10
2023,11,November,4,6,340038.0,56673.0,-94295.0,6,2023-11
2023,12,December,4,4,311243.0,77810.75,-67310.0,4,2023-12
2024,1,January,1,4,434662.0,108665.5,-10300.0,4,2024-01
2024,2,February,1,1,1000.0,1000.0,-100512.0,1,2024-02
2024,3,March,1,6,154114.0,25685.666666666668,-133692.0,6,2024-03
2024,4,April,2,5,433606.0,86721.2,96314.0,5,2024-04
2024,5,May,2,2,40702.0,20351.0,-97781.0,2,2024-05
2024,6,June,2,4,188600.0,62866.666666666664,-72967.0,4,2024-06
2024,7,July,3,3,280338.0,93446.0,51693.0,3,2024-07
2024,8,August,3,3,300669.0,100223.0,63267.0,3,2024-08
2024,9,September,3,3,267762.0,89254.0,44242.0,3,2024-09
2024,10,October,4,5,307296.0,61459.2,58303.0,5,2024-10
2024,11,November,4,2,155296.0,77648.0,33367.0,2,2024-11
