id_tiempo,fecha_completa,año,mes,nombre_mes,trimestre,semana,dia,dia_semana,es_fin_semana
20200102,2020-01-02,2020,1,January,1,1,2,Thursday,0
20200103,2020-01-03,2020,1,January,1,1,3,Friday,0
20200114,2020-01-14,2020,1,January,1,3,14,Tuesday,0
20200127,2020-01-27,2020,1,January,1,5,27,Monday,0
20200129,2020-01-29,2020,1,January,1,5,29,Wednesday,0
20200131,2020-01-31,2020,1,January,1,5,31,Friday,0
20200202,2020-02-02,2020,2,February,1,5,2,Sunday,1
20200221,2020-02-21,2020,2,February,1,8,21,Friday,0
20200222,2020-02-22,2020,2,February,1,8,22,Saturday,1
20200227,2020-02-27,2020,2,February,1,9,27,Thursday,0
20200301,2020-03-01,2020,3,March,1,9,1,Sunday,1
20200302,2020-03-02,2020,3,March,1,10,2,Monday,0
20200304,2020-03-04,2020,3,March,1,10,4,Wednesday,0
20200306,2020-03-06,2020,3,March,1,10,6,Friday,0
20200313,2020-03-13,2020,3,March,1,11,13,Friday,0
20200322,2020-03-22,2020,3,March,1,12,22,Sunday,1
20200323,2020-03-23,2020,3,March,1,13,23,Monday,0
20200406,2020-04-06,2020,4,April,2,15,6,Monday,0
20200408,2020-04-08,2020,4,April,2,15,8,Wednesday,0
20200413,2020-04-13,2020,4,April,2,16,13,Monday,0
20200420,2020-04-20,2020,4,April,2,17,20,Monday,0
20200428,2020-04-28,2020,4,April,2,18,28,Tuesday,0
20200503,2020-05-03,2020,5,May,2,18,3,Sunday,1
20200511,2020-05-11,2020,5,May,2,20,11,Monday,0
20200516,2020-05-16,2020,5,May,2,20,16,Saturday,1
20200522,2020-05-22,2020,5,May,2,21,22,Friday,0
20200524,2020-05-24,2020,5,May,2,21,24,Sunday,1
20200525,2020-05-25,2020,5,May,2,22,25,Monday,0
20200601,2020-06-01,2020,6,June,2,23,1,Monday,0
20200605,2020-06-05,2020,6,June,2,23,5,Friday,0
20200608,2020-06-08,2020,6,June,2,24,8,Monday,0
20200611,2020-06-11,2020,6,June,2,24,11,Thursday,0
20200623,2020-06-23,2020,6,June,2,26,23,Tuesday,0
20200701,2020-07-01,2020,7,July,3,27,1,Wednesday,0
20200712,2020-07-12,2020,7,July,3,28,12,Sunday,1
20200716,2020-07-16,2020,7,July,3,29,16,Thursday,0
20200718,2020-07-18,2020,7,July,3,29,18,Saturday,1
20200723,2020-07-23,2020,7,July,3,30,23,Thursday,0
20200724,2020-07-24,2020,7,July,3,30,24,Friday,0
20200812,2020-08-12,2020,8,August,3,33,12,Wednesday,0
20200815,2020-08-15,2020,8,August,3,33,15,Saturday,1
20200827,2020-08-27,2020,8,August,3,35,27,Thursday,0
20200828,2020-08-28,2020,8,August,3,35,28,Friday,0
20200906,2020-09-06,2020,9,September,3,36,6,Sunday,1
20200920,2020-09-20,2020,9,September,3,38,20,Sunday,1
20200925,2020-09-25,2020,9,September,3,39,25,Friday,0
20200930,2020-09-30,2020,9,September,3,40,30,Wednesday,0
20201002,2020-10-02,2020,10,October,4,40,2,Friday,0
20201015,2020-10-15,2020,10,October,4,42,15,Thursday,0
20201021,2020-10-21,2020,10,October,4,43,21,Wednesday,0
