id_venta,id_tiempo,id_cliente,id_vehiculo,id_vendedor,id_sucursal,id_tipo_pago,cantidad,precio_venta,costo_vehiculo,descuento,precio_neto,margen_ganancia,financiado,comision_vendedor
1,,2,852,1,2,1,1.0,29436.0,25590.0,28.0,21193.92,3846.0,1,466.79
2,,3,1002,2,3,1,1.0,37334.0,29884.0,4.0,35840.64,7450.0,1,688.83
3,,4,989,3,2,1,1.0,125390.0,95173.0,25.0,94042.5,30217.0,1,2444.6
4,,5,1000,4,3,1,1.0,137842.0,116316.0,18.0,113030.44,21526.0,1,1391.07
5,,7,1015,5,4,1,1.0,47507.0,41039.0,2.0,46556.86,6468.0,0,703.65
6,,8,1021,6,5,2,1.0,19212.0,16351.0,31.0,13256.279999999999,2861.0,1,234.71
7,,9,998,7,4,1,1.0,139414.0,102760.0,20.0,111531.20000000001,36654.0,1,3448.78
8,,12,915,8,8,1,1.0,83679.0,75501.0,7.0,77821.47,8178.0,1,1400.34
9,,13,883,9,9,1,1.0,73353.0,57750.0,28.0,52814.159999999996,15603.0,0,2429.44
10,,14,975,2,10,3,1.0,1000.0,104686.0,29.0,710.0,-103686.0,0,2057.98
11,,15,1005,10,11,3,1.0,1000.0,79357.0,5.0,950.0,-78357.0,1,2588.1
12,,16,994,11,9,1,1.0,96442.0,73651.0,100.0,0.0,22791.0,1,1481.02
13,,17,979,12,12,1,1.0,65661.0,48356.0,30.0,45962.7,17305.0,0,1259.91
14,,18,934,13,1,3,1.0,55104.0,40675.0,17.0,45736.32,14429.0,0,1231.14
15,,19,910,14,10,2,1.0,48784.0,36435.0,6.0,45856.96,12349.0,0,615.05
16,,20,980,15,3,1,1.0,118298.0,96717.0,7.0,110017.14,21581.0,1,3272.34
17,,21,791,16,10,1,1.0,91461.0,66988.0,25.0,68595.75,24473.0,1,2302.59
18,,23,986,17,5,1,1.0,1000.0,62539.0,4.0,960.0,-61539.0,0,1236.86
19,,24,1017,18,3,1,1.0,1000.0,51465.0,8.0,920.0,-50465.0,1,1747.96
20,,27,926,19,9,1,1.0,1000.0,91502.0,33.0,669.9999999999999,-90502.0,1,4003.12
21,,28,867,20,10,1,1.0,148652.0,108246.0,23.0,114462.04000000001,40406.0,0,1554.89
22,,29,670,21,10,2,1.0,1000.0,52651.0,20.0,800.0,-51651.0,0,1698.01
23,,30,947,22,11,3,1.0,1000.0,87279.0,0.0,1000.0,-86279.0,1,2118.77
24,,32,906,23,2,3,1.0,28965.0,21676.0,5.0,27516.75,7289.0,0,
25,,33,1016,24,10,2,1.0,54707.0,46169.0,27.0,39936.11,8538.0,1,966.84
26,,34,1021,25,6,1,1.0,1000.0,100979.0,8.0,920.0,-99979.0,1,1865.27
27,,35,670,26,10,3,1.0,125628.0,119094.0,19.0,101758.68000000001,6534.0,1,3986.94
28,20220920.0,36,1009,27,6,2,1.0,118394.0,107561.0,15.0,100634.9,10833.0,1,2159.06
29,,37,1005,28,9,1,1.0,122238.0,88696.0,15.0,103902.3,33542.0,0,1450.74
30,,38,950,29,3,2,0.0,107244.0,78305.0,25.0,80433.0,28939.0,1,2781.05
31,,39,998,30,10,3,1.0,109507.0,100886.0,2.0,107316.86,8621.0,0,1985.49
32,,40,947,31,11,1,1.0,21233.0,16875.0,19.0,17198.73,4358.0,0,
33,,1583,769,12,5,1,1.0,1000.0,37808.0,31.0,690.0,-36808.0,1,1665.5
34,,42,959,32,5,3,1.0,34039.0,27786.0,16.0,28592.76,6253.0,0,1009.03
35,,44,926,33,1,2,1.0,62434.0,46634.0,7.0,58063.619999999995,15800.0,1,662.04
36,,45,970,34,9,2,1.0,16359.0,15542.0,17.0,13577.97,817.0,0,286.26
37,,46,898,35,11,3,1.0,59991.0,56052.0,33.0,40193.969999999994,3939.0,0,505.74
38,,47,1016,36,6,1,1.0,20866.0,19812.0,13.0,18153.42,1054.0,0,490.53
39,20211119.0,48,974,37,10,3,1.0,111015.0,90500.0,2.0,108794.7,20515.0,1,1660.57
40,20220814.0,50,955,38,6,2,1.0,50637.0,41130.0,26.0,37471.38,9507.0,0,1734.64
41,,51,948,39,12,2,1.0,59967.0,50876.0,28.0,43176.24,9091.0,1,1641.12
42,,54,978,40,4,1,1.0,105570.0,76429.0,17.0,87623.09999999999,29141.0,1,1747.76
43,,55,670,21,3,2,1.0,102272.0,77026.0,18.0,83863.04000000001,25246.0,0,1528.38
44,,57,1011,41,12,3,1.0,1000.0,100794.0,26.0,740.0,-99794.0,0,1158.55
45,,58,922,42,1,3,1.0,61036.0,48489.0,17.0,50659.88,12547.0,0,1563.8
46,,59,951,43,9,1,1.0,61306.0,47949.0,5.0,58240.7,13357.0,0,1238.55
47,20221110.0,60,1010,44,2,1,1.0,72949.0,57797.0,25.0,54711.75,15152.0,0,2095.31
48,,61,993,45,6,3,1.0,134592.0,114082.0,21.0,106327.68000000001,20510.0,0,1373.79
49,,62,834,46,8,1,1.0,1000.0,43121.0,29.0,710.0,-42121.0,1,833.53
50,,64,1017,47,5,1,1.0,78595.0,56383.0,28.0,56588.4,22212.0,1,1074.32
51,,65,975,30,6,3,1.0,18950.0,16153.0,25.0,14212.5,2797.0,0,461.17
52,,66,994,48,6,1,1.0,60646.0,51599.0,5.0,57613.7,9047.0,1,
53,,67,975,49,8,2,1.0,67247.0,51540.0,7.0,62539.71,15707.0,1,2130.54
54,,68,1015,50,6,2,1.0,47487.0,37900.0,22.0,37039.86,9587.0,1,1158.34
55,,69,959,51,12,3,1.0,113386.0,95065.0,19.0,91842.66,18321.0,0,3453.0
56,,70,1011,52,4,2,1.0,146751.0,109702.0,10.0,132075.9,37049.0,0,1469.53
57,20240515.0,72,1014,53,8,1,1.0,44076.0,41876.0,34.0,29090.159999999996,2200.0,1,
58,,73,1010,54,6,3,1.0,1000.0,60056.0,13.0,870.0,-59056.0,1,1446.57
59,,74,954,55,3,1,1.0,37645.0,27654.0,100.0,0.0,9991.0,1,620.37
60,,75,1024,56,1,3,1.0,64576.0,48859.0,23.0,49723.520000000004,15717.0,1,1635.54
