id_sucursal,nombre,id_ciudad,tamaño,zona
1,sucursal occidente,9,pequenia,norte
2,sucursal principal,1,grande,centro
3,sucursal carrera 7,7,mediana,oeste
4,sucursal industrial,6,pequenio,este
5,sucursal aeropuerto,8,mediano,este
6,sucursal oriente,6,mediana,este
7,sucursal oriente,3,mediana,sur
8,sucursal aeropuerto,11,pequenia,oeste
9,sucursal occidente,6,grande,este
10,sucursal occidente,9,pequenia,norte
11,sucursal centro,8,pequenia,este
12,sucursal calle 80,9,pequenia,norte
13,sucursal principal,2,mediana,norte
14,sucursal centro,2,pequenia,norte
15,sucursal aeropuerto,11,pequenia,oeste
16,sucursal norte,9,mediana,norte
17,sucursal el poblado,8,mediano,este
18,sucursal aeropuerto,2,grande,norte
19,sucursal carrera 7,6,mediana,este
20,sucursal oriente,12,mediana,sur
21,sucursal norte,2,pequenia,norte
22,sucursal industrial,10,pequenia,centro
23,sucursal centro,5,grande,norte
24,sucursal autopista,7,pequenia,oeste
25,sucursal principal,6,pequenia,este
26,sucursal principal,12,pequenia,sur
27,sucursal autopista,9,pequenio,norte
28,sucursal calle 80,2,mediano,norte
29,sucursal industrial,7,pequenio,oeste
30,sucursal principal,2,mediano,norte
31,sucursal centro,9,grande,norte
32,sucursal industrial,9,mediano,norte
33,sucursal occidente,5,pequenio,norte
34,sucursal carrera 7,6,pequenia,este
35,sucursal calle 80,8,grande,este
