id_tiempo,fecha_completa,año,mes,nombre_mes,trimestre,dia,dia_semana,es_fin_semana
20200101,2020-01-01,2020,1,January,1,1,Wednesday,0
20200102,2020-01-02,2020,1,January,1,2,Thursday,0
20200104,2020-01-04,2020,1,January,1,4,Saturday,1
20200105,2020-01-05,2020,1,January,1,5,Sunday,1
20200106,2020-01-06,2020,1,January,1,6,Monday,0
20200108,2020-01-08,2020,1,January,1,8,Wednesday,0
20200109,2020-01-09,2020,1,January,1,9,Thursday,0
20200110,2020-01-10,2020,1,January,1,10,Friday,0
20200111,2020-01-11,2020,1,January,1,11,Saturday,1
20200113,2020-01-13,2020,1,January,1,13,Monday,0
20200114,2020-01-14,2020,1,January,1,14,Tuesday,0
20200116,2020-01-16,2020,1,January,1,16,Thursday,0
20200117,2020-01-17,2020,1,January,1,17,Friday,0
20200118,2020-01-18,2020,1,January,1,18,Saturday,1
20200119,2020-01-19,2020,1,January,1,19,Sunday,1
20200120,2020-01-20,2020,1,January,1,20,Monday,0
20200121,2020-01-21,2020,1,January,1,21,Tuesday,0
20200122,2020-01-22,2020,1,January,1,22,Wednesday,0
20200123,2020-01-23,2020,1,January,1,23,Thursday,0
20200124,2020-01-24,2020,1,January,1,24,Friday,0
20200126,2020-01-26,2020,1,January,1,26,Sunday,1
20200127,2020-01-27,2020,1,January,1,27,Monday,0
20200130,2020-01-30,2020,1,January,1,30,Thursday,0
20200131,2020-01-31,2020,1,January,1,31,Friday,0
20200201,2020-02-01,2020,2,February,1,1,Saturday,1
20200202,2020-02-02,2020,2,February,1,2,Sunday,1
20200203,2020-02-03,2020,2,February,1,3,Monday,0
20200204,2020-02-04,2020,2,February,1,4,Tuesday,0
20200205,2020-02-05,2020,2,February,1,5,Wednesday,0
20200206,2020-02-06,2020,2,February,1,6,Thursday,0
20200207,2020-02-07,2020,2,February,1,7,Friday,0
20200209,2020-02-09,2020,2,February,1,9,Sunday,1
20200211,2020-02-11,2020,2,February,1,11,Tuesday,0
20200213,2020-02-13,2020,2,February,1,13,Thursday,0
20200214,2020-02-14,2020,2,February,1,14,Friday,0
20200215,2020-02-15,2020,2,February,1,15,Saturday,1
