id_vehiculo,marca,modelo,tipo,año_modelo,cilindraje,tipo_combustible,color
41,Volkswagen,T-Cross,carro,2019,1000,Híbrido,Gris
139,Volkswagen,Virtus,carro,2021,1000,Híbrido,Plata
47,Toyota,Corolla,carro,2024,1200,Diesel,Rojo
260,Suzuki,Vitara,carro,2020,3500,Diesel,Azul
271,Suzuki,S-Cross,carro,2022,2400,Diesel,Gris
122,Kia,Picanto,carro,2025,1600,Diesel,Rojo
217,Chevrolet,Tracker,carro,2019,3000,Eléctrico,Azul
250,Chevrolet,Joy,carro,2018,3500,Híbrido,Blanco
42,Nissan,Kicks,carro,2021,2000,Híbrido,Negro
225,Volkswagen,T-Cross,carro,2019,1400,Gasolina,Plata
67,Kia,Sportage,moto,2018,1200,Eléctrico,Blanco
287,Nissan,Kicks,carro,2020,1400,Diesel,Rojo
169,Kia,Rio,carro,2024,3500,Híbrido,Plata
267,Volkswagen,Virtus,moto,2019,2000,Híbrido,Azul
108,Nissan,Kicks,moto,2025,3000,Híbrido,Gris
234,Nissan,Kicks,moto,2025,2400,Diesel,Negro
244,Ford,Escape,carro,2025,1600,Diesel,Plata
216,Nissan,Kicks,moto,2025,1000,Gasolina,Plata
14,Renault,Kwid,moto,2020,1000,Diesel,Plata
127,Mazda,Mazda2,carro,2020,3000,Diesel,Gris
155,Suzuki,Swift,carro,2024,2000,Gasolina,Blanco
166,Mazda,Mazda2,moto,2021,3000,Híbrido,Azul
209,Ford,Explorer,moto,2025,3000,Diesel,Blanco
99,Hyundai,i10,carro,2021,3000,Diesel,Plata
146,Ford,Ranger,carro,2020,1000,Eléctrico,Plata
231,Ford,Escape,carro,2018,1200,Eléctrico,Negro
102,Nissan,Versa,carro,2022,1400,Diesel,Blanco
295,Suzuki,Swift,carro,2020,3000,Híbrido,Azul
233,Renault,Logan,carro,2019,2400,Híbrido,Azul
123,Chevrolet,Tracker,carro,2024,1200,Diesel,Negro
175,Volkswagen,T-Cross,carro,2022,3000,Gasolina,Negro
196,Nissan,Sentra,carro,2020,3500,Eléctrico,Azul
274,Nissan,X-Trail,carro,2019,1600,Eléctrico,Gris
290,Chevrolet,Joy,carro,2024,1600,Diesel,Rojo
