id_vehiculo,marca,modelo,tipo,año_modelo,cilindraje,tipo_combustible,color
1,chevrolet,onix,bus,2019,2400,Gas Natural,plata
2,suzuki,grand vitara,bus,2021,1200,Gas Natural,blanco
3,chevrolet,blazer,moto,2012,1500,Diesel,gris
4,nissan,x trail,moto,2022,4000,Diesel,plata
5,suzuki,ignis,camioneta,2017,3000,Diesel,gris
6,mazda,mazda2,camioneta,2019,1800,Eléctrico,azul
7,volkswagen,gol,furgon,2013,1600,Diesel,naranja
8,chevrolet,joy,furgon,2024,3000,Diesel,verde
9,honda,cr v,bus,2021,1500,Gas Natural,plata
10,volkswagen,t cross,moto,2024,1000,Gasolina,azul
11,nissan,x trail,moto,2021,3500,Híbrido,blanco
12,kia,cerato,moto,2024,2000,Eléctrico,gris
13,honda,fit,camioneta,2017,2400,Gasolina,rojo
14,toyota,land cruiser,camioneta,2012,3000,Gas Natural,azul
15,renault,oroch,carro,2020,4000,Eléctrico,plata
16,nissan,frontier,carro,2024,3500,Híbrido,rojo
17,mazda,cx 5,camioneta,2023,1000,Diesel,negro
18,volkswagen,amarok,moto,2025,1400,Diesel,verde
19,mitsubishi,lancer,camioneta,2015,1800,Gas Natural,plata
20,volkswagen,jetta,pickup,2015,3500,Gas Natural,azul
21,toyota,prado,moto,2018,1200,Gasolina,plata
22,mazda,cx 30,moto,2015,1600,Gas Natural,blanco
23,mazda,cx 30,carro,2019,3500,Diesel,rojo
24,hyundai,accent,carro,2024,2400,Gasolina,negro
25,suzuki,ignis,pickup,2022,1500,Eléctrico,plata
26,mazda,cx 30,moto,2016,1400,Gasolina,azul
27,renault,kwid,carro,2023,2000,Híbrido,rojo
28,volkswagen,virtus,camioneta,2020,1800,Gasolina,negro
29,honda,wr v,carro,2023,1400,Eléctrico,rojo
30,kia,sonet,carro,2012,1600,Gasolina,gris
31,mazda,mazda2,bus,2014,2000,Gasolina,negro
32,ford,fiesta,camioneta,2015,1400,Gasolina,blanco
33,kia,sportage,carro,2022,1500,Híbrido,amarillo
34,chevrolet,joy,moto,2025,3000,Diesel,negro
35,ford,bronco,carro,2017,3000,Híbrido,negro
36,renault,oroch,carro,2023,1000,Gas Natural,azul
37,toyota,hilux,carro,2021,1200,Gasolina,negro
38,honda,cr v,pickup,2024,3000,Híbrido,negro
39,kia,sonet,carro,2024,3500,Gasolina,plata
40,mazda,mazda2,moto,2020,2000,Diesel,verde
41,hyundai,santa fe,pickup,2024,1600,Gas Natural,gris
42,kia,sonet,carro,2021,2400,Gasolina,rojo
43,renault,kwid,bus,2016,1200,Gasolina,rojo
44,hyundai,i20,pickup,2014,1000,Diesel,beige
45,hyundai,ioniq,bus,2017,1000,Híbrido,gris
46,kia,sportage,pickup,2016,1000,Gasolina,rojo
47,toyota,rav4,moto,2012,1800,Gasolina,azul
48,hyundai,tucson,camioneta,2013,1500,Gasolina,marron
49,volkswagen,t cross,carro,2013,4000,Gasolina,blanco
50,chevrolet,montana,bus,2019,1400,Gas Natural,beige
51,chevrolet,onix,camioneta,2014,1000,Gas Natural,negro
52,mitsubishi,asx,carro,2013,1000,Gasolina,vino
53,suzuki,swift,carro,2014,2400,Gasolina,verde
54,honda,wr v,camioneta,2024,1600,Gasolina,blanco
55,honda,fit,carro,2019,3500,Diesel,azul
56,mazda,mazda3,furgon,2023,1200,Gasolina,plata
57,mitsubishi,outlander,furgon,2015,1000,Diesel,azul
58,kia,seltos,camioneta,2012,2400,Gasolina,negro
59,ford,ranger,carro,2014,3000,Híbrido,plata
60,suzuki,jimny,bus,2012,1800,Eléctrico,beige
61,chevrolet,spin,pickup,2014,3000,Híbrido,rojo
62,mitsubishi,eclipse cross,pickup,2025,1000,Gas Natural,plata
63,hyundai,accent,camioneta,2020,1800,Diesel,gris
64,toyota,land cruiser,moto,2018,1200,Diesel,blanco
65,nissan,frontier,pickup,2017,1800,Diesel,gris
66,toyota,land cruiser,furgon,2019,3000,Diesel,negro
67,volkswagen,gol,bus,2024,1800,Diesel,blanco
68,hyundai,santa fe,camioneta,2019,2000,Eléctrico,gris
69,mazda,mazda3,pickup,2018,3500,Gasolina,azul
70,suzuki,s cross,moto,2022,1600,Gasolina,gris
71,toyota,fortuner,bus,2016,1400,Eléctrico,beige
72,ford,ranger,pickup,2017,4000,Eléctrico,vino
73,suzuki,s cross,furgon,2015,2000,Diesel,verde
74,chevrolet,s10,bus,2025,2400,Gasolina,gris
75,ford,fiesta,moto,2023,1200,Diesel,negro
76,nissan,x trail,pickup,2018,2000,Gasolina,naranja
