id_tipo_pago,tipo_pago,entidad_financiera,plazo_meses,tasa_interes,requiere_aprobacion
4.0,contado,,0.0,1.25,1.0
8.0,contado,,0.0,1.56,1.0
3.0,contado,Banco Ñ,48.0,0.0,1.0
15.0,contado,Davivienda,24.0,0.0,1.0
18.0,contado,BBVA,36.0,0.0,1.0
11.0,contado,,0.0,1.39,0.0
6.0,contado,,24.0,0.0,1.0
10.0,contado,BBVA,24.0,0.0,1.0
16.0,contado,Banco de Bogotá,24.0,1.37,0.0
19.0,contado,Bancolombia,48.0,0.6,0.0
13.0,contado,,12.0,1.04,0.0
12.0,contado,,36.0,0.0,0.0
20.0,contado,Citibank,48.0,0.0,0.0
17.0,contado,,24.0,1.21,1.0
1.0,contado,Davivienda,36.0,1.92,1.0
5.0,contado,Bancolombia,0.0,0.57,0.0
2.0,contado,BBVA,24.0,1.9,0.0
7.0,contado,,0.0,1.5,1.0
14.0,contado,Banco Popular,0.0,0.0,1.0
9.0,contado,Banco de Bogotá,0.0,1.43,0.0
