id_venta,id_tiempo,id_cliente,id_vehiculo,id_vendedor,id_sucursal,id_tipo_pago,cantidad,precio_venta,costo_vehiculo,descuento,precio_neto,margen_ganancia,financiado,comision_vendedor
1272.0,,331,592,29.0,32,10.0,1.0,39381.0,35901.0,33.0,26385.269999999997,3480.0,1,475.11
68.0,,293,61,83.0,25,8.0,1.0,78910.0,63933.0,19.0,63917.100000000006,14977.0,0,1769.31
1949.0,,280,257,84.0,10,1.0,1.0,135285.0,114790.0,10.0,121756.5,20495.0,1,3205.53
663.0,,819,202,70.0,7,1.0,1.0,1000.0,39047.0,25.0,750.0,-38047.0,0,1079.56
1442.0,20230727.0,25,192,87.0,20,1.0,1.0,35973.0,27115.0,2.0,35253.54,8858.0,0,1039.46
668.0,,868,423,66.0,6,9.0,1.0,1000.0,84820.0,28.0,720.0,-83820.0,0,3430.28
1488.0,,302,27,39.0,1,4.0,1.0,152781.0,116247.0,22.0,119169.18000000001,36534.0,0,4643.67
1540.0,,372,440,99.0,27,7.0,1.0,50866.0,36557.0,11.0,45270.74,14309.0,0,757.08
1338.0,,132,221,30.0,1,3.0,1.0,155540.0,119276.0,21.0,122876.6,36264.0,1,3706.68
213.0,,543,450,55.0,2,12.0,1.0,43537.0,39255.0,15.0,37006.45,4282.0,1,965.71
991.0,,121,123,64.0,30,8.0,1.0,58734.0,52560.0,4.0,56384.64,6174.0,1,772.46
1453.0,,630,563,72.0,5,19.0,1.0,1000.0,109593.0,28.0,720.0,-108593.0,0,4222.37
1862.0,,769,180,27.0,13,15.0,1.0,28851.0,26934.0,17.0,23946.329999999998,1917.0,1,
326.0,20220812.0,896,228,20.0,7,18.0,1.0,35625.0,27484.0,14.0,30637.5,8141.0,0,605.51
774.0,,828,173,67.0,18,14.0,1.0,86750.0,63996.0,24.0,65930.0,22754.0,1,1627.72
562.0,20230306.0,18,161,48.0,31,18.0,1.0,21372.0,16456.0,6.0,20089.68,4916.0,1,513.72
665.0,20200614.0,63,32,98.0,28,2.0,1.0,1000.0,101286.0,22.0,780.0,-100286.0,1,3064.61
1835.0,,45,347,56.0,10,12.0,1.0,159399.0,114910.0,15.0,135489.15,44489.0,0,3585.38
204.0,,184,89,20.0,27,19.0,1.0,,102855.0,11.0,,,1,2298.72
1002.0,,65,295,79.0,31,2.0,1.0,47534.0,34082.0,35.0,30897.100000000002,13452.0,0,1598.66
1677.0,,688,106,75.0,16,15.0,1.0,26845.0,24106.0,10.0,24160.5,2739.0,1,879.09
1994.0,,1,425,13.0,35,3.0,1.0,42471.0,31300.0,8.0,39073.32,11171.0,0,1340.29
882.0,,777,72,29.0,10,7.0,1.0,48326.0,38940.0,25.0,36244.5,9386.0,0,900.78
593.0,,145,158,29.0,1,18.0,1.0,142324.0,115147.0,12.0,125245.12,27177.0,0,3056.74
181.0,,205,68,19.0,4,7.0,1.0,,89238.0,24.0,,,0,2673.53
113.0,,183,510,63.0,34,16.0,1.0,81539.0,77370.0,16.0,68492.76,4169.0,0,1995.68
515.0,,630,249,22.0,10,19.0,1.0,1000.0,84955.0,3.0,970.0,-83955.0,0,
1681.0,,88,343,63.0,17,16.0,1.0,137923.0,108307.0,32.0,93787.63999999998,29616.0,1,2258.36
314.0,,786,2,51.0,34,10.0,1.0,125242.0,99343.0,5.0,118979.9,25899.0,1,1542.09
1686.0,20211215.0,463,564,62.0,22,2.0,1.0,78703.0,62632.0,31.0,54305.06999999999,16071.0,0,2256.96
693.0,,542,246,88.0,25,15.0,1.0,75346.0,70960.0,3.0,73085.62,4386.0,0,
1533.0,,187,296,67.0,3,9.0,1.0,41694.0,39383.0,30.0,29185.8,2311.0,1,1444.07
1124.0,,549,349,84.0,3,3.0,1.0,127866.0,113125.0,0.0,127866.0,14741.0,0,2364.21
1828.0,,738,286,76.0,5,3.0,1.0,38076.0,28915.0,13.0,33126.12,9161.0,0,383.86
647.0,,853,347,39.0,3,10.0,1.0,103129.0,82661.0,21.0,81471.91,20468.0,1,2842.54
1541.0,,374,407,80.0,33,8.0,1.0,53229.0,44078.0,22.0,41518.62,9151.0,1,1217.41
1720.0,20240128.0,711,453,29.0,26,8.0,1.0,1000.0,19627.0,12.0,880.0,-18627.0,0,639.23
1599.0,,654,197,53.0,5,16.0,1.0,80129.0,59476.0,4.0,76923.84,20653.0,0,2711.49
1758.0,,494,528,73.0,4,15.0,1.0,83606.0,75918.0,25.0,62704.5,7688.0,1,2660.3
1456.0,,623,324,12.0,28,19.0,1.0,1000.0,81989.0,3.0,970.0,-80989.0,1,1419.31
1198.0,,552,282,64.0,23,11.0,1.0,100880.0,84205.0,8.0,92809.6,16675.0,1,2127.13
162.0,20210216.0,301,103,65.0,6,6.0,1.0,115858.0,87442.0,12.0,101955.04,28416.0,1,2520.92
941.0,,299,256,93.0,1,9.0,1.0,107136.0,96217.0,11.0,95351.04000000001,10919.0,1,2243.2
954.0,,382,338,49.0,33,14.0,1.0,28083.0,20533.0,5.0,26678.85,7550.0,0,434.47
1602.0,,539,510,19.0,12,7.0,1.0,54066.0,38667.0,19.0,43793.46000000001,15399.0,1,865.28
857.0,,461,201,71.0,11,17.0,1.0,1000.0,54337.0,20.0,800.0,-53337.0,1,2151.05
528.0,,18,170,32.0,1,9.0,1.0,35555.0,28094.0,25.0,26666.25,7461.0,0,387.32
827.0,,828,479,55.0,12,12.0,1.0,1000.0,53183.0,2.0,980.0,-52183.0,0,873.47
