id_sucursal,nombre,id_ciudad,tamaño,zona
10,Sucursal Centro,2,Pequeña,Norte
3,Sucursal Oriente,4,Pequeña,Norte
15,Sucursal Principal,5,Grande,Norte
11,Sucursal Principal,8,Pequeña,Este
4,Sucursal Autopista,2,Mediana,Norte
18,Sucursal Norte,1,Pequeña,Centro
2,Sucursal Calle 80,1,Grande,Centro
5,Sucursal Calle 80,5,Mediana,Norte
9,Sucursal Occidente,3,Pequeña,Sur
16,Sucursal Norte,3,Mediana,Sur
1,Sucursal Autopista,2,Pequeña,Norte
13,Sucursal Centro,7,Mediana,Oeste
7,Sucursal Oriente,8,Mediana,Este
8,Sucursal Centro,7,Mediana,Oeste
17,Sucursal Norte,5,Pequeña,Norte
19,Sucursal Oriente,8,Grande,Este
12,Sucursal Autopista,6,Grande,Este
20,Sucursal Principal,6,Pequeña,Este
6,Sucursal Norte,2,Grande,Norte
14,Sucursal Centro,3,Mediana,Sur
