id_venta,id_tiempo,id_cliente,id_vehiculo,id_vendedor,id_sucursal,id_tipo_pago,cantidad,precio_venta,costo_vehiculo,descuento,financiado,margen_ganancia
1.0,20231025,795,71,68.0,13,4.0,1.0,33326.0,200000.0,24.0,0,-166674.0
2.0,20220328,520,485,70.0,28,8.0,1.0,94163.0,200000.0,28.0,0,-105837.0
3.0,,235,28,60.0,5,3.0,1.0,83800.0,200000.0,20.0,1,-116200.0
4.0,20210222,389,96,75.0,2,15.0,1.0,102924.0,200000.0,12.0,1,-97076.0
5.0,,358,310,34.0,2,18.0,1.0,61265.0,200000.0,2.0,1,-138735.0
6.0,20240502,367,404,43.0,8,11.0,1.0,54831.0,200000.0,21.0,1,-145169.0
7.0,,747,357,27.0,27,6.0,1.0,96819.0,200000.0,21.0,0,-103181.0
8.0,,204,435,34.0,29,10.0,1.0,83446.0,200000.0,7.0,0,-116554.0
9.0,,425,460,69.0,6,6.0,1.0,119919.0,200000.0,13.0,0,-80081.0
10.0,,259,132,10.0,22,18.0,1.0,100470.0,200000.0,18.0,0,-99530.0
11.0,20221124,444,238,77.0,12,16.0,1.0,52802.0,200000.0,13.0,0,-147198.0
12.0,20231129,567,302,6.0,1,19.0,1.0,64618.0,200000.0,15.0,1,-135382.0
13.0,20210625,76,42,37.0,10,4.0,1.0,86592.0,200000.0,25.0,1,-113408.0
14.0,,450,93,53.0,22,13.0,1.0,67081.0,200000.0,10.0,0,-132919.0
15.0,20221106,641,431,19.0,16,11.0,1.0,88242.0,200000.0,8.0,1,-111758.0
16.0,20230823,153,303,34.0,28,16.0,1.0,78736.0,200000.0,27.0,0,-121264.0
17.0,20231114,101,299,45.0,18,8.0,1.0,113815.0,200000.0,12.0,0,-86185.0
18.0,20240324,621,168,15.0,30,12.0,1.0,58681.0,200000.0,12.0,1,-141319.0
19.0,,111,373,48.0,15,3.0,1.0,83115.0,200000.0,3.0,0,-116885.0
20.0,20210909,71,9,29.0,19,4.0,1.0,92271.0,200000.0,15.0,1,-107729.0
21.0,20231004,391,161,8.0,4,10.0,1.0,81606.0,200000.0,30.0,1,-118394.0
22.0,20240325,118,380,11.0,10,20.0,1.0,73503.0,200000.0,14.0,0,-126497.0
23.0,,47,442,22.0,4,13.0,1.0,62947.0,200000.0,18.0,0,-137053.0
24.0,,795,320,60.0,12,17.0,1.0,32362.0,200000.0,27.0,0,-167638.0
25.0,,64,348,11.0,21,3.0,1.0,65662.0,200000.0,26.0,1,-134338.0
26.0,,232,347,37.0,12,16.0,1.0,50430.0,200000.0,4.0,1,-149570.0
27.0,,461,470,68.0,7,3.0,1.0,58544.0,200000.0,20.0,0,-141456.0
28.0,,299,376,9.0,15,13.0,1.0,114742.0,200000.0,10.0,1,-85258.0
29.0,,280,165,46.0,15,1.0,1.0,115408.0,200000.0,12.0,1,-84592.0
30.0,,620,110,45.0,29,12.0,1.0,47630.0,200000.0,29.0,1,-152370.0
31.0,,627,467,26.0,29,5.0,1.0,93012.0,200000.0,20.0,0,-106988.0
32.0,,667,442,32.0,15,11.0,1.0,56685.0,200000.0,30.0,1,-143315.0
33.0,,93,288,72.0,4,16.0,1.0,41864.0,200000.0,1.0,0,-158136.0
34.0,20220823,726,318,27.0,11,18.0,1.0,82807.0,200000.0,22.0,0,-117193.0
35.0,,625,203,35.0,7,2.0,1.0,53047.0,200000.0,28.0,0,-146953.0
36.0,,489,493,43.0,15,7.0,1.0,91088.0,200000.0,10.0,0,-108912.0
37.0,20241123,144,328,28.0,14,4.0,1.0,73971.0,200000.0,22.0,0,-126029.0
38.0,20220208,120,297,49.0,6,4.0,1.0,78591.0,200000.0,4.0,0,-121409.0
39.0,,475,23,31.0,11,6.0,1.0,100511.0,200000.0,1.0,0,-99489.0
40.0,,714,434,62.0,26,16.0,1.0,49662.0,200000.0,6.0,0,-150338.0
41.0,,478,479,44.0,27,5.0,1.0,99683.0,200000.0,23.0,1,-100317.0
42.0,20231128,685,417,52.0,26,3.0,1.0,60038.0,200000.0,2.0,1,-139962.0
43.0,20200301,580,428,79.0,8,14.0,1.0,82290.0,200000.0,11.0,1,-117710.0
44.0,,275,284,67.0,24,9.0,1.0,36101.0,200000.0,4.0,1,-163899.0
45.0,,110,325,71.0,7,16.0,1.0,98905.0,200000.0,2.0,1,-101095.0
46.0,20220501,460,221,4.0,19,10.0,1.0,114070.0,200000.0,30.0,0,-85930.0
47.0,,24,361,68.0,15,10.0,1.0,50830.0,200000.0,27.0,1,-149170.0
48.0,,429,252,73.0,18,2.0,1.0,54470.0,200000.0,26.0,1,-145530.0
49.0,20220929,270,150,42.0,5,3.0,1.0,110969.0,200000.0,13.0,0,-89031.0
50.0,20220529,749,491,51.0,3,19.0,1.0,57819.0,200000.0,6.0,1,-142181.0
51.0,20230813,711,110,41.0,24,10.0,1.0,102276.0,200000.0,23.0,1,-97724.0
52.0,,507,204,40.0,20,10.0,1.0,95471.0,200000.0,20.0,0,-104529.0
