id_vehiculo,marca,modelo,tipo,año_modelo,cilindraje,tipo_combustible,color
1,mazda,mazda2,carro,2022,1500,Diesel,verde
2,renault,stepway,carro,2017,2400,Diesel,azul
3,toyota,rav4,pickup,2018,1600,Gasolina,naranja
4,kia,sonet,moto,2014,3500,Eléctrico,amarillo
5,suzuki,ignis,pickup,2018,4000,Gasolina,gris
6,ford,escape,moto,2014,2400,Gasolina,vino
7,mazda,mazda3,pickup,2015,1200,Gasolina,gris
8,volkswagen,t cross,carro,2019,1200,Diesel,beige
9,suzuki,jimny,moto,2019,1600,Diesel,gris
10,suzuki,swift,bus,2025,1800,Diesel,beige
11,mitsubishi,outlander,pickup,2017,1800,Diesel,negro
12,mitsubishi,asx,camioneta,2014,3000,Diesel,blanco
13,kia,cerato,moto,2023,2400,Gasolina,negro
14,honda,hr v,camioneta,2025,1400,Gasolina,gris
15,mazda,cx 30,bus,2016,1400,Eléctrico,rojo
16,toyota,hilux,pickup,2022,1600,Diesel,azul
17,chevrolet,joy,camioneta,2023,4000,Diesel,gris
18,mazda,cx 5,bus,2025,1400,Gasolina,naranja
19,chevrolet,tracker,carro,2016,1000,Eléctrico,gris
20,volkswagen,polo,pickup,2014,2400,Gasolina,negro
21,renault,sandero,carro,2012,1400,Híbrido,blanco
22,mitsubishi,outlander,bus,2016,1800,Gasolina,plata
23,nissan,versa,moto,2013,2000,Gasolina,gris
24,renault,oroch,furgon,2023,1800,Diesel,gris
25,nissan,sentra,moto,2023,1500,Gasolina,amarillo
26,honda,wr v,bus,2021,2400,Gasolina,negro
27,volkswagen,amarok,furgon,2022,4000,Gasolina,plata
28,nissan,versa,furgon,2017,1400,Gasolina,blanco
29,chevrolet,blazer,furgon,2024,3000,Diesel,amarillo
30,honda,cr v,bus,2020,3000,Diesel,negro
31,toyota,yaris,moto,2021,1600,Gas Natural,gris
32,suzuki,s cross,furgon,2018,1500,Diesel,verde
33,mitsubishi,lancer,camioneta,2024,1200,Gasolina,blanco
34,chevrolet,blazer,moto,2019,1400,Eléctrico,gris
35,hyundai,santa fe,pickup,2019,1400,Diesel,blanco
36,chevrolet,spin,moto,2013,2000,Híbrido,rojo
37,mitsubishi,lancer,camioneta,2014,1800,Eléctrico,amarillo
38,mazda,mazda6,pickup,2015,1800,Gas Natural,marron
39,suzuki,jimny,furgon,2023,3000,Híbrido,azul
40,honda,accord,pickup,2018,1800,Híbrido,negro
41,hyundai,tucson,furgon,2014,2400,Diesel,rojo
42,nissan,x trail,camioneta,2025,2000,Gasolina,naranja
43,toyota,corolla,pickup,2017,2000,Gas Natural,gris
44,volkswagen,virtus,carro,2019,1500,Diesel,negro
45,volkswagen,virtus,bus,2021,1800,Gasolina,gris
46,volkswagen,polo,camioneta,2022,1400,Diesel,blanco
47,volkswagen,virtus,bus,2019,2000,Eléctrico,negro
48,suzuki,swift,carro,2021,1600,Gasolina,rojo
49,hyundai,i10,furgon,2014,1600,Eléctrico,naranja
50,suzuki,vitara,bus,2014,1000,Híbrido,naranja
51,renault,duster,camioneta,2012,1000,Diesel,rojo
52,mazda,mazda2,furgon,2014,1400,Diesel,blanco
53,volkswagen,polo,pickup,2025,2000,Eléctrico,blanco
54,renault,koleos,bus,2018,1600,Gasolina,azul
55,chevrolet,joy,camioneta,2013,3000,Híbrido,gris
56,mazda,mazda2,furgon,2020,4000,Diesel,vino
57,kia,picanto,bus,2017,1600,Eléctrico,amarillo
58,honda,civic,furgon,2020,1200,Eléctrico,naranja
59,honda,civic,moto,2020,1500,Eléctrico,gris
60,hyundai,creta,furgon,2020,3000,Eléctrico,azul
61,kia,sonet,bus,2016,3500,Diesel,blanco
62,mitsubishi,outlander,bus,2025,3000,Eléctrico,gris
63,renault,logan,moto,2015,1600,Eléctrico,amarillo
64,mazda,bt 50,carro,2014,1500,Híbrido,verde
65,ford,explorer,bus,2020,1400,Gas Natural,gris
66,chevrolet,tracker,moto,2015,1200,Eléctrico,blanco
67,hyundai,tucson,furgon,2020,2000,Gasolina,beige
68,ford,bronco,camioneta,2015,3500,Gasolina,beige
69,kia,picanto,carro,2025,3000,Híbrido,plata
70,mitsubishi,outlander,bus,2015,1200,Eléctrico,gris
71,mitsubishi,lancer,camioneta,2021,4000,Gasolina,rojo
72,chevrolet,blazer,moto,2016,1000,Diesel,naranja
73,mitsubishi,lancer,camioneta,2017,1500,Eléctrico,rojo
74,chevrolet,s10,pickup,2023,1000,Eléctrico,plata
75,honda,accord,moto,2023,1500,Diesel,gris
76,suzuki,jimny,pickup,2016,1000,Gasolina,verde
77,mazda,bt 50,carro,2024,1600,Diesel,plata
78,mitsubishi,asx,pickup,2019,2400,Gasolina,blanco
79,renault,stepway,moto,2019,3500,Gas Natural,blanco
80,renault,kwid,carro,2020,4000,Diesel,rojo
81,volkswagen,t cross,carro,2025,2400,Diesel,azul
82,chevrolet,tracker,pickup,2015,3500,Híbrido,negro
83,hyundai,creta,camioneta,2013,1200,Gas Natural,plata
84,ford,explorer,pickup,2025,1800,Gas Natural,vino
85,kia,sportage,furgon,2021,1200,Diesel,gris
86,honda,accord,furgon,2023,1800,Diesel,blanco
87,honda,hr v,bus,2017,1500,Eléctrico,blanco
88,honda,fit,camioneta,2014,1800,Gasolina,gris
89,renault,kwid,bus,2014,3000,Diesel,azul
91,mitsubishi,asx,bus,2019,4000,Diesel,plata
92,honda,cr v,furgon,2022,4000,Gasolina,blanco
93,mazda,bt 50,bus,2019,1200,Gas Natural,azul
94,nissan,frontier,pickup,2015,1400,Gasolina,negro
95,mazda,mazda2,moto,2012,1800,Gasolina,blanco
96,toyota,land cruiser,bus,2019,1800,Diesel,negro
97,toyota,fortuner,furgon,2023,3500,Gasolina,plata
98,suzuki,swift,furgon,2017,3000,Diesel,negro
99,kia,sportage,camioneta,2021,2400,Gasolina,blanco
100,suzuki,grand vitara,furgon,2012,4000,Diesel,marron
101,kia,rio,furgon,2024,1500,Gasolina,naranja
102,kia,seltos,bus,2022,1800,Diesel,amarillo
103,honda,civic,carro,2012,3000,Gasolina,beige
104,toyota,land cruiser,furgon,2015,4000,Diesel,verde
105,ford,fiesta,bus,2014,4000,Gasolina,plata
106,mitsubishi,l200,pickup,2016,2400,Gasolina,blanco
107,ford,explorer,moto,2017,4000,Gasolina,azul
108,mitsubishi,eclipse cross,furgon,2021,4000,Gasolina,beige
109,mitsubishi,outlander,camioneta,2014,2400,Gasolina,naranja
110,hyundai,i20,moto,2018,1600,Diesel,amarillo
111,mitsubishi,l200,carro,2016,1500,Diesel,plata
112,suzuki,ignis,moto,2024,3500,Gasolina,blanco
113,renault,kwid,furgon,2012,1800,Diesel,gris
114,mitsubishi,outlander,furgon,2012,1500,Gasolina,blanco
115,renault,oroch,moto,2012,2400,Híbrido,rojo
116,mazda,mazda3,carro,2012,3500,Diesel,gris
117,kia,cerato,bus,2025,1800,Diesel,rojo
118,renault,oroch,furgon,2012,2000,Gasolina,gris
119,nissan,x trail,carro,2021,1800,Gasolina,gris
120,toyota,hilux,moto,2013,1400,Gasolina,plata
121,mitsubishi,outlander,bus,2020,3000,Gasolina,azul
122,mazda,cx 5,bus,2025,1500,Eléctrico,blanco
123,mitsubishi,lancer,pickup,2022,2000,Diesel,plata
124,renault,duster,pickup,2020,1400,Gas Natural,rojo
125,nissan,versa,carro,2021,1400,Híbrido,plata
126,nissan,sentra,bus,2012,1000,Eléctrico,negro
127,volkswagen,tiguan,bus,2024,1400,Diesel,plata
128,ford,bronco,carro,2015,1600,Diesel,rojo
129,hyundai,tucson,bus,2018,2000,Diesel,azul
130,ford,focus,carro,2020,1600,Gasolina,plata
131,toyota,fortuner,furgon,2016,3500,Gasolina,gris
132,chevrolet,joy,furgon,2025,1200,Híbrido,beige
133,toyota,prado,carro,2020,2000,Diesel,rojo
134,hyundai,creta,furgon,2022,1400,Gas Natural,amarillo
135,toyota,fortuner,moto,2018,2400,Diesel,plata
136,toyota,corolla,carro,2020,1400,Diesel,negro
137,honda,civic,bus,2012,1000,Diesel,naranja
138,renault,koleos,bus,2014,3000,Gasolina,amarillo
139,ford,explorer,furgon,2019,4000,Gasolina,rojo
140,honda,civic,moto,2012,1000,Diesel,azul
141,hyundai,i20,carro,2022,3500,Híbrido,amarillo
142,renault,koleos,bus,2020,4000,Gasolina,negro
143,kia,sonet,pickup,2022,1400,Gasolina,azul
144,mazda,bt 50,moto,2019,2000,Diesel,azul
145,nissan,frontier,pickup,2020,3500,Eléctrico,plata
146,renault,stepway,carro,2014,4000,Gasolina,negro
147,mitsubishi,asx,carro,2012,1600,Gasolina,verde
148,volkswagen,polo,moto,2022,1600,Diesel,rojo
149,mazda,bt 50,carro,2017,4000,Diesel,gris
150,toyota,hilux,moto,2017,1200,Gas Natural,azul
151,honda,cr v,bus,2020,2400,Diesel,blanco
152,nissan,pathfinder,bus,2016,1600,Diesel,plata
153,kia,carnival,carro,2016,1800,Diesel,plata
154,toyota,prado,pickup,2012,1600,Diesel,beige
155,chevrolet,joy,furgon,2013,1400,Gas Natural,gris
156,mitsubishi,l200,pickup,2025,1400,Diesel,azul
157,hyundai,tucson,camioneta,2022,1200,Gasolina,blanco
159,nissan,pathfinder,moto,2017,4000,Eléctrico,negro
160,kia,carnival,camioneta,2015,1400,Gas Natural,blanco
161,mitsubishi,asx,carro,2019,1000,Gasolina,gris
162,nissan,kicks,moto,2015,3500,Eléctrico,blanco
163,suzuki,ignis,pickup,2025,1400,Eléctrico,azul
164,renault,koleos,furgon,2019,3500,Gasolina,rojo
165,toyota,rav4,camioneta,2021,4000,Gasolina,negro
166,volkswagen,polo,pickup,2015,1600,Diesel,azul
167,suzuki,jimny,pickup,2018,1000,Gasolina,plata
168,volkswagen,virtus,camioneta,2023,2400,Gas Natural,gris
169,chevrolet,blazer,bus,2018,1500,Diesel,vino
170,kia,seltos,pickup,2013,2400,Eléctrico,rojo
171,hyundai,tucson,pickup,2024,1800,Diesel,verde
172,mitsubishi,eclipse cross,pickup,2014,1600,Eléctrico,blanco
173,honda,accord,bus,2019,1000,Gasolina,azul
174,mazda,bt 50,furgon,2012,4000,Híbrido,blanco
175,honda,accord,furgon,2020,4000,Gas Natural,gris
176,ford,bronco,camioneta,2023,2400,Gas Natural,negro
177,hyundai,i20,carro,2025,3500,Diesel,negro
178,ford,escape,pickup,2021,1500,Diesel,amarillo
179,mazda,cx 5,pickup,2017,2000,Gasolina,blanco
180,suzuki,grand vitara,bus,2017,1400,Gasolina,negro
181,ford,maverick,moto,2021,4000,Gas Natural,plata
182,toyota,rav4,moto,2021,2000,Gasolina,naranja
183,toyota,corolla,camioneta,2021,1600,Gas Natural,marron
184,hyundai,creta,furgon,2014,1000,Híbrido,rojo
185,mazda,mazda6,moto,2018,1000,Diesel,plata
186,hyundai,santa fe,camioneta,2024,1400,Gasolina,gris
187,kia,carnival,pickup,2021,2000,Eléctrico,plata
188,chevrolet,spin,moto,2021,2400,Gasolina,rojo
189,honda,fit,bus,2017,1000,Gasolina,gris
190,kia,sonet,pickup,2017,2000,Gas Natural,plata
191,toyota,rav4,furgon,2017,3000,Eléctrico,vino
192,kia,carnival,moto,2012,4000,Diesel,rojo
193,nissan,x trail,camioneta,2016,3500,Gasolina,blanco
194,chevrolet,onix,camioneta,2020,2000,Gasolina,negro
195,chevrolet,montana,moto,2022,1500,Diesel,negro
196,kia,seltos,camioneta,2019,3500,Gasolina,rojo
197,renault,oroch,carro,2019,1400,Diesel,plata
198,mitsubishi,asx,pickup,2020,1500,Híbrido,gris
199,mazda,cx 5,moto,2022,1000,Diesel,plata
200,nissan,sentra,bus,2014,3500,Gasolina,rojo
201,volkswagen,gol,camioneta,2014,1600,Gasolina,plata
202,nissan,pathfinder,camioneta,2014,1500,Gasolina,azul
203,renault,logan,pickup,2023,3000,Diesel,plata
204,ford,focus,moto,2020,4000,Diesel,beige
205,suzuki,jimny,carro,2018,1000,Diesel,blanco
206,kia,rio,pickup,2019,3500,Gasolina,negro
