id_tiempo,id_cliente,id_vehiculo,id_sucursal,id_tipo_mantenimiento,costo_servicio,costo_repuestos,costo_total,repuestos_usados,horas_taller,kilometraje_vehiculo
,899,406,12,2.0,2728.0,,2728.0,1.0,14.0,57851.0
,210,94,12,12.0,1347.0,1000.0,2347.0,14.0,,21220.0
,590,375,32,2.0,1000.0,1000.0,2000.0,0.0,12.0,119383.0
,423,349,35,4.0,1782.0,1000.0,2782.0,10.0,5.0,139855.0
,731,431,3,7.0,,1000.0,1000.0,1.0,3.0,37602.0
,787,438,30,2.0,2203.0,1000.0,3203.0,6.0,4.0,148422.0
,566,349,35,6.0,2600.0,,2600.0,9.0,2.0,57592.0
,832,591,6,1.0,1000.0,1000.0,2000.0,13.0,15.0,37634.0
,853,205,6,10.0,2194.0,1000.0,3194.0,2.0,1.0,108828.0
20210701.0,204,467,17,7.0,1000.0,,1000.0,0.0,13.0,121120.0
20220510.0,708,127,25,5.0,1024.0,1000.0,2024.0,7.0,12.0,27302.0
20201102.0,160,380,28,2.0,1000.0,,1000.0,0.0,3.0,39470.0
,116,248,24,1.0,,,0.0,0.0,14.0,63788.0
,265,572,32,11.0,1981.0,1000.0,2981.0,9.0,3.0,80470.0
,820,278,22,6.0,1000.0,1000.0,2000.0,6.0,10.0,39159.0
,329,438,15,11.0,1225.0,1000.0,2225.0,0.0,11.0,109525.0
,794,136,5,12.0,1804.0,1000.0,2804.0,13.0,11.0,3444.0
,241,104,19,6.0,2925.0,1000.0,3925.0,0.0,12.0,
,615,247,16,3.0,1370.0,1000.0,2370.0,0.0,16.0,
,683,216,11,7.0,2049.0,1000.0,3049.0,7.0,8.0,73200.0
20231203.0,652,9,2,3.0,1945.0,,1945.0,1.0,12.0,30991.0
,834,559,16,2.0,1000.0,1000.0,2000.0,14.0,,6424.0
,850,144,5,8.0,1000.0,1000.0,2000.0,15.0,,100235.0
,405,281,1,9.0,1581.0,1000.0,2581.0,7.0,8.0,121116.0
,207,418,20,6.0,2811.0,1000.0,3811.0,5.0,7.0,136820.0
,756,474,28,9.0,1000.0,1000.0,2000.0,14.0,12.0,68667.0
,155,391,4,6.0,1131.0,1000.0,2131.0,11.0,14.0,138360.0
,495,293,16,2.0,1739.0,,1739.0,10.0,2.0,28588.0
,693,585,18,1.0,1872.0,1000.0,2872.0,0.0,7.0,50609.0
,118,304,13,3.0,1793.0,,1793.0,10.0,12.0,106845.0
,879,119,30,10.0,1000.0,1000.0,2000.0,12.0,,74675.0
,873,470,2,10.0,1000.0,1000.0,2000.0,7.0,,149583.0
,51,330,1,3.0,2458.0,1000.0,3458.0,2.0,,64664.0
