id_tipo_pago,tipo_pago,entidad_financiera,plazo_meses,tasa_interes,requiere_aprobacion
1.0,leasing,citibank,12.0,0.0,0.0
2.0,leasing,no identificado,36.0,1.59,1.0
3.0,credito,no identificado,0.0,0.59,1.0
4.0,leasing,no identificado,36.0,0.0,0.0
5.0,contado,no identificado,24.0,0.0,1.0
6.0,contado,colpatria,0.0,0.0,1.0
7.0,contado,no identificado,60.0,0.0,1.0
8.0,leasing,bbva,0.0,0.0,0.0
9.0,leasing,bancolombia,0.0,0.82,1.0
10.0,contado,bbva,24.0,0.0,1.0
11.0,credito,davivienda,72.0,0.0,0.0
12.0,credito,no identificado,24.0,0.0,0.0
13.0,contado,banco de bogota,0.0,1.65,1.0
14.0,leasing,no identificado,24.0,0.0,0.0
15.0,contado,no identificado,24.0,2.6,1.0
16.0,leasing,scotiabank,0.0,0.0,1.0
17.0,contado,davivienda,0.0,0.0,0.0
18.0,credito,scotiabank,0.0,0.0,0.0
19.0,contado,banco de bogota,0.0,0.0,0.0
20.0,credito,scotiabank,48.0,0.0,1.0
