id_tiempo,fecha_completa,año,mes,nombre_mes,trimestre,semana,dia,dia_semana,es_fin_semana
20200101,2020-01-01,2020,1,January,1,1,1,Wednesday,0
20200107,2020-01-07,2020,1,January,1,2,7,Tuesday,0
20200111,2020-01-11,2020,1,January,1,2,11,Saturday,1
20200202,2020-02-02,2020,2,February,1,5,2,Sunday,1
20200206,2020-02-06,2020,2,February,1,6,6,Thursday,0
20200216,2020-02-16,2020,2,February,1,7,16,Sunday,1
20200226,2020-02-26,2020,2,February,1,9,26,Wednesday,0
20200304,2020-03-04,2020,3,March,1,10,4,Wednesday,0
20200314,2020-03-14,2020,3,March,1,11,14,Saturday,1
20200330,2020-03-30,2020,3,March,1,14,30,Monday,0
20200404,2020-04-04,2020,4,April,2,14,4,Saturday,1
20200405,2020-04-05,2020,4,April,2,14,5,Sunday,1
20200420,2020-04-20,2020,4,April,2,17,20,Monday,0
20200502,2020-05-02,2020,5,May,2,18,2,Saturday,1
20200505,2020-05-05,2020,5,May,2,19,5,Tuesday,0
20200512,2020-05-12,2020,5,May,2,20,12,Tuesday,0
20200513,2020-05-13,2020,5,May,2,20,13,Wednesday,0
20200515,2020-05-15,2020,5,May,2,20,15,Friday,0
20200518,2020-05-18,2020,5,May,2,21,18,Monday,0
20200521,2020-05-21,2020,5,May,2,21,21,Thursday,0
20200523,2020-05-23,2020,5,May,2,21,23,Saturday,1
20200529,2020-05-29,2020,5,May,2,22,29,Friday,0
20200602,2020-06-02,2020,6,June,2,23,2,Tuesday,0
20200606,2020-06-06,2020,6,June,2,23,6,Saturday,1
20200610,2020-06-10,2020,6,June,2,24,10,Wednesday,0
20200617,2020-06-17,2020,6,June,2,25,17,Wednesday,0
20200618,2020-06-18,2020,6,June,2,25,18,Thursday,0
20200622,2020-06-22,2020,6,June,2,26,22,Monday,0
20200623,2020-06-23,2020,6,June,2,26,23,Tuesday,0
20200629,2020-06-29,2020,6,June,2,27,29,Monday,0
20200702,2020-07-02,2020,7,July,3,27,2,Thursday,0
20200710,2020-07-10,2020,7,July,3,28,10,Friday,0
20200716,2020-07-16,2020,7,July,3,29,16,Thursday,0
20200720,2020-07-20,2020,7,July,3,30,20,Monday,0
20200726,2020-07-26,2020,7,July,3,30,26,Sunday,1
20200814,2020-08-14,2020,8,August,3,33,14,Friday,0
20200817,2020-08-17,2020,8,August,3,34,17,Monday,0
20200824,2020-08-24,2020,8,August,3,35,24,Monday,0
20200901,2020-09-01,2020,9,September,3,36,1,Tuesday,0
20200902,2020-09-02,2020,9,September,3,36,2,Wednesday,0
20200911,2020-09-11,2020,9,September,3,37,11,Friday,0
20200922,2020-09-22,2020,9,September,3,39,22,Tuesday,0
20200925,2020-09-25,2020,9,September,3,39,25,Friday,0
20200926,2020-09-26,2020,9,September,3,39,26,Saturday,1
20200929,2020-09-29,2020,9,September,3,40,29,Tuesday,0
20201001,2020-10-01,2020,10,October,4,40,1,Thursday,0
20201002,2020-10-02,2020,10,October,4,40,2,Friday,0
20201005,2020-10-05,2020,10,October,4,41,5,Monday,0
20201013,2020-10-13,2020,10,October,4,42,13,Tuesday,0
20201020,2020-10-20,2020,10,October,4,43,20,Tuesday,0
20201101,2020-11-01,2020,11,November,4,44,1,Sunday,1
20201102,2020-11-02,2020,11,November,4,45,2,Monday,0
20201106,2020-11-06,2020,11,November,4,45,6,Friday,0
20201108,2020-11-08,2020,11,November,4,45,8,Sunday,1
20201110,2020-11-10,2020,11,November,4,46,10,Tuesday,0
20201111,2020-11-11,2020,11,November,4,46,11,Wednesday,0
20201112,2020-11-12,2020,11,November,4,46,12,Thursday,0
20201114,2020-11-14,2020,11,November,4,46,14,Saturday,1
20201119,2020-11-19,2020,11,November,4,47,19,Thursday,0
20201120,2020-11-20,2020,11,November,4,47,20,Friday,0
20201202,2020-12-02,2020,12,December,4,49,2,Wednesday,0
20201207,2020-12-07,2020,12,December,4,50,7,Monday,0
20201211,2020-12-11,2020,12,December,4,50,11,Friday,0
20201212,2020-12-12,2020,12,December,4,50,12,Saturday,1
20201222,2020-12-22,2020,12,December,4,52,22,Tuesday,0
20201230,2020-12-30,2020,12,December,4,53,30,Wednesday,0
20210102,2021-01-02,2021,1,January,1,53,2,Saturday,1
20210112,2021-01-12,2021,1,January,1,2,12,Tuesday,0
20210115,2021-01-15,2021,1,January,1,2,15,Friday,0
20210117,2021-01-17,2021,1,January,1,2,17,Sunday,1
20210131,2021-01-31,2021,1,January,1,4,31,Sunday,1
20210204,2021-02-04,2021,2,February,1,5,4,Thursday,0
20210208,2021-02-08,2021,2,February,1,6,8,Monday,0
20210210,2021-02-10,2021,2,February,1,6,10,Wednesday,0
20210211,2021-02-11,2021,2,February,1,6,11,Thursday,0
20210217,2021-02-17,2021,2,February,1,7,17,Wednesday,0
20210225,2021-02-25,2021,2,February,1,8,25,Thursday,0
20210301,2021-03-01,2021,3,March,1,9,1,Monday,0
20210312,2021-03-12,2021,3,March,1,10,12,Friday,0
20210317,2021-03-17,2021,3,March,1,11,17,Wednesday,0
20210318,2021-03-18,2021,3,March,1,11,18,Thursday,0
20210328,2021-03-28,2021,3,March,1,12,28,Sunday,1
20210331,2021-03-31,2021,3,March,1,13,31,Wednesday,0
20210401,2021-04-01,2021,4,April,2,13,1,Thursday,0
20210405,2021-04-05,2021,4,April,2,14,5,Monday,0
20210414,2021-04-14,2021,4,April,2,15,14,Wednesday,0
20210419,2021-04-19,2021,4,April,2,16,19,Monday,0
20210420,2021-04-20,2021,4,April,2,16,20,Tuesday,0
20210423,2021-04-23,2021,4,April,2,16,23,Friday,0
20210430,2021-04-30,2021,4,April,2,17,30,Friday,0
20210504,2021-05-04,2021,5,May,2,18,4,Tuesday,0
20210510,2021-05-10,2021,5,May,2,19,10,Monday,0
20210511,2021-05-11,2021,5,May,2,19,11,Tuesday,0
20210518,2021-05-18,2021,5,May,2,20,18,Tuesday,0
20210601,2021-06-01,2021,6,June,2,22,1,Tuesday,0
20210603,2021-06-03,2021,6,June,2,22,3,Thursday,0
20210607,2021-06-07,2021,6,June,2,23,7,Monday,0
20210612,2021-06-12,2021,6,June,2,23,12,Saturday,1
