año,mes,ventas,ingresos,costos,margen,margen_porcentaje,ventas_financiadas,num_financiadas,periodo,tasa_financiacion
2020,1,3,56444.0,180463.0,-124019.0,-4240.67011975608,54444.0,1,2020-01,96.45666501311034
2020,2,3,97605.0,108922.0,-11317.0,-1156.4332866278287,67707.0,2,2020-02,69.36837252189949
2020,3,3,196872.0,171447.0,25425.0,13.52231311229212,131410.0,2,2020-03,66.74895363484904
2020,4,4,291431.0,235977.0,55454.0,17.05596878465631,123726.0,2,2020-04,42.45464621128157
2020,5,4,388390.0,325608.0,62782.0,-501.7601117642681,227447.0,3,2020-05,58.56149746388939
2020,6,3,87077.0,258413.0,-86661.0,-5006.385574543722,87077.0,3,2020-06,100.0
2020,7,2,205078.0,174224.0,30854.0,14.686788570522669,0.0,0,2020-07,0.0
2020,8,6,352504.0,496242.0,-143738.0,-3341.1930786311455,254797.0,4,2020-08,72.28201665796699
2020,9,4,211235.0,341835.0,47846.0,21.491865133693775,211235.0,4,2020-09,100.0
2020,10,5,329651.0,263954.0,65697.0,18.571189431155123,198780.0,4,2020-10,60.30013559795056
2020,11,8,603585.0,516793.0,86792.0,-166.68039464545535,312882.0,3,2020-11,51.83727229801933
2020,12,7,320766.0,350223.0,-29457.0,-1320.808682304625,180358.0,6,2020-12,56.22728094623495
2021,1,4,267025.0,249004.0,18021.0,-552.9520909980931,101189.0,2,2021-01,37.89495365602472
2021,2,6,579985.0,434375.0,145610.0,24.609225407528722,439344.0,5,2021-02,75.7509245928774
2021,3,5,62611.0,300329.0,-209724.0,-5585.040925751959,61611.0,3,2021-03,98.40283656226542
2021,4,1,1000.0,24012.0,-23012.0,-2301.2,0.0,0,2021-04,0.0
2021,5,1,61903.0,46666.0,15237.0,24.614315945915383,61903.0,1,2021-05,100.0
2021,6,8,655390.0,506817.0,148573.0,22.95547386667225,459959.0,6,2021-06,70.18096095454615
2021,7,5,455750.0,379040.0,76710.0,-477.49850138219045,314462.0,3,2021-07,68.99879319802523
2021,8,8,552844.0,561587.0,-8743.0,-1393.1931152410734,0.0,0,2021-08,0.0
2021,9,4,259822.0,295124.0,-35302.0,-2310.1916756651185,152415.0,2,2021-09,58.661314284394706
2021,10,4,204482.0,242989.0,-38507.0,-2007.3692583090874,123952.0,2,2021-10,60.61756046987021
2021,11,5,249681.0,357042.0,-107361.0,-3316.4181501255866,169642.0,3,2021-11,67.94349590076938
2021,12,6,247453.0,444154.0,-196701.0,-4180.73313593732,34085.0,2,2021-12,13.774332903622103
2022,1,6,418120.0,332825.0,85295.0,18.94150231635219,90508.0,3,2022-01,21.646417296469913
2022,3,5,279165.0,330198.0,-51033.0,-1530.99345353716,92945.0,2,2022-03,33.293930113015605
2022,4,4,245273.0,293979.0,-48706.0,-2124.4657694776315,196407.0,3,2022-04,80.07689391005125
2022,5,2,171140.0,155275.0,15865.0,12.214626320304221,44442.0,1,2022-05,25.968213158817342
2022,6,2,99101.0,87616.0,11485.0,11.05945594367563,0.0,0,2022-06,0.0
2022,7,1,1000.0,51243.0,-50243.0,-5024.3,1000.0,1,2022-07,100.0
2022,8,2,153233.0,127948.0,25285.0,18.714584734061532,0.0,0,2022-08,0.0
2022,9,4,176831.0,250495.0,-8309.0,-1805.8389291149897,176831.0,3,2022-09,100.0
2022,10,1,127654.0,96701.0,30953.0,24.247575477462515,0.0,0,2022-10,0.0
2022,11,5,164670.0,414184.0,-249514.0,-5823.346850385948,162670.0,3,2022-11,98.78544968725329
2022,12,5,299225.0,338421.0,-23678.0,-2574.190949597657,298225.0,4,2022-12,99.66580332525692
2023,1,4,274856.0,283379.0,-8523.0,-1454.7317552965023,181135.0,3,2023-01,65.90178129638792
2023,2,2,214283.0,192137.0,22146.0,11.185457474221344,92951.0,1,2023-02,43.37768278398193
2023,3,2,64838.0,52149.0,12689.0,20.44250087920264,21372.0,1,2023-03,32.962151824547334
2023,4,4,303243.0,328933.0,-25690.0,-2196.2466846970906,94137.0,1,2023-04,31.043420623064673
2023,5,4,199474.0,262548.0,-63074.0,-2623.7566624633687,93241.0,3,2023-05,46.743435234667174
2023,6,1,71838.0,59290.0,12548.0,17.46707870486372,71838.0,1,2023-06,100.0
2023,7,4,304277.0,278728.0,25549.0,10.685669670238015,268304.0,3,2023-07,88.17754874670119
2023,8,4,275286.0,347705.0,-72419.0,-2935.7854923118925,117007.0,1,2023-08,42.503796052105805
2023,9,4,265047.0,341654.0,-76607.0,-2831.5796102190375,40221.0,1,2023-09,15.17504442608292
2023,11,3,49800.0,137018.0,-87218.0,-3146.828741227881,30298.0,1,2023-11,60.83935742971887
2023,12,1,1000.0,60775.0,-59775.0,-5977.5,1000.0,1,2023-12,100.0
2024,1,6,187280.0,337464.0,-150184.0,-3020.507076423634,58728.0,2,2024-01,31.358393848782573
2024,2,1,50448.0,38035.0,12413.0,24.605534411671425,0.0,0,2024-02,0.0
2024,3,5,222368.0,288727.0,-66359.0,-2302.059668097221,1000.0,1,2024-03,0.4497049935242481
2024,4,4,205550.0,283742.0,-78192.0,-2859.353461222376,81461.0,1,2024-04,39.630746776939915
2024,6,4,167627.0,243540.0,-75913.0,-2947.83839020314,166627.0,3,2024-06,99.40343739373728
2024,7,6,318351.0,327440.0,-9089.0,-1386.2980154179538,127052.0,2,2024-07,39.90940816897073
2024,8,1,131156.0,107542.0,23614.0,18.004513708865776,0.0,0,2024-08,0.0
2024,9,2,142672.0,193755.0,-51083.0,-4263.002222033993,0.0,0,2024-09,0.0
2024,10,4,243524.0,246486.0,-2962.0,-1080.0933981638116,108860.0,2,2024-10,44.701959560454
2024,11,5,501443.0,416541.0,84902.0,17.353892279387416,240128.0,3,2024-11,47.88739697233783
2024,12,4,410536.0,348361.0,62175.0,16.808263016664444,191420.0,2,2024-12,46.62684880254107
