tipo_mantenimiento,descripcion,num_servicios,ingresos_totales,costo_promedio,horas_promedio,total_repuestos,km_promedio
Suspensión,Revisión de amortiguadores,101,217100.0,2149.5049504950493,9.419354838709678,671.0,72198.625
Sistema Eléctrico,Revisión eléctrica,94,224436.0,2387.6170212765956,8.951807228915662,690.0,71107.04819277108
Aire Acondicionado,Recarga y revisión,94,219074.0,2330.574468085106,8.753086419753087,615.0,74341.31707317074
Llantas y Neumáticos,Cambio y alineación de llantas,86,199652.0,2321.5348837209303,7.907894736842105,506.0,74582.85714285714
Alineación y Balanceo,Alineación y balanceo,86,204863.0,2382.1279069767443,8.972972972972974,538.0,76918.93150684932
Revisión General,Revisión completa del vehículo,85,187906.0,2210.6588235294116,8.879518072289157,573.0,75495.92405063291
Frenos,Revisión y cambio de pastillas,83,180493.0,2174.614457831325,9.28,567.0,75426.44
Aceite y Filtros,Cambio de aceite y filtros,74,164299.0,2220.2567567567567,8.828125,499.0,78145.6875
Motor,Ajuste y calibración,71,155934.0,2196.2535211267605,8.46774193548387,479.0,78202.68181818182
Transmisión,Cambio de aceite transmisión,53,128782.0,2429.8490566037735,7.880952380952381,341.0,75904.15217391304
