año,mes,nombre_mes,trimestre,num_ventas,ingresos_totales,ticket_promedio,ganancia_total,clientes_unicos
2020,1,January,1,10,753993.0,75399.3,-1246007.0,10
2020,2,February,1,8,566304.0,70788.0,-1033696.0,8
2020,3,March,1,14,926329.0,66166.35714285714,-1873671.0,14
2020,4,April,2,21,1428993.0,68047.28571428571,-2771007.0,21
2020,5,May,2,12,774022.0,64501.833333333336,-1625978.0,12
2020,6,June,2,18,1136493.0,63138.5,-2463507.0,17
2020,7,July,3,25,1695709.0,67828.36,-3304291.0,25
2020,8,August,3,6,461775.0,76962.5,-738225.0,6
2020,9,September,3,13,914583.0,70352.53846153847,-1685417.0,13
2020,10,October,4,14,738805.0,52771.78571428572,-2061195.0,14
2020,11,November,4,18,1388139.0,77118.83333333333,-2211861.0,18
2020,12,December,4,10,631514.0,63151.4,-1368486.0,10
2021,1,January,1,9,751247.0,83471.88888888889,-1048753.0,9
2021,2,February,1,6,374220.0,62370.0,-825780.0,6
2021,3,March,1,12,950142.0,79178.5,-1449858.0,12
2021,4,April,2,9,750274.0,83363.77777777778,-1049726.0,9
2021,5,May,2,15,936428.0,62428.53333333333,-2063572.0,15
2021,6,June,2,4,286472.0,71618.0,-513528.0,4
2021,7,July,3,14,962744.0,68767.42857142857,-1837256.0,14
2021,8,August,3,3,237487.0,79162.33333333333,-362513.0,3
2021,9,September,3,10,832059.0,83205.9,-1167941.0,10
2021,10,October,4,9,548963.0,60995.88888888889,-1251037.0,9
2021,11,November,4,19,1405181.0,73956.8947368421,-2394819.0,19
2021,12,December,4,18,1255643.0,69757.94444444444,-2344357.0,18
2022,1,January,1,12,892097.0,74341.41666666667,-1507903.0,12
2022,2,February,1,11,720299.0,65481.72727272727,-1479701.0,11
2022,3,March,1,9,754151.0,83794.55555555556,-1045849.0,9
2022,4,April,2,13,1067310.0,82100.76923076923,-1532690.0,13
2022,5,May,2,17,1196927.0,70407.4705882353,-2203073.0,17
2022,6,June,2,6,499741.0,83290.16666666667,-700259.0,6
2022,7,July,3,20,1435997.0,71799.85,-2564003.0,20
2022,8,August,3,10,656609.0,65660.9,-1343391.0,10
2022,9,September,3,16,1237143.0,77321.4375,-1962857.0,16
2022,10,October,4,13,886740.0,68210.76923076923,-1713260.0,13
2022,11,November,4,12,701317.0,58443.083333333336,-1698683.0,12
2022,12,December,4,6,373885.0,62314.166666666664,-826115.0,6
2023,1,January,1,7,524933.0,74990.42857142857,-875067.0,7
2023,2,February,1,9,770408.0,85600.88888888889,-1029592.0,9
2023,3,March,1,14,984717.0,70336.92857142857,-1815283.0,14
2023,4,April,2,8,712115.0,89014.375,-887885.0,8
2023,5,May,2,21,1442843.0,68706.80952380953,-2757157.0,21
2023,6,June,2,12,865143.0,72095.25,-1534857.0,12
2023,7,July,3,19,1516843.0,79833.84210526316,-2283157.0,19
2023,8,August,3,10,766675.0,76667.5,-1233325.0,10
2023,9,September,3,9,481071.0,53452.333333333336,-1318929.0,9
2023,10,October,4,4,221427.0,55356.75,-578573.0,4
2023,11,November,4,20,1471268.0,73563.4,-2528732.0,20
2023,12,December,4,9,570678.0,63408.666666666664,-1229322.0,9
2024,1,January,1,17,1207392.0,71023.05882352941,-2192608.0,17
2024,2,February,1,8,571859.0,71482.375,-1028141.0,8
2024,3,March,1,10,709625.0,70962.5,-1290375.0,10
2024,4,April,2,12,852170.0,71014.16666666667,-1547830.0,12
2024,5,May,2,7,440226.0,62889.42857142857,-959774.0,7
2024,6,June,2,10,869458.0,86945.8,-1130542.0,10
2024,7,July,3,13,606351.0,46642.38461538462,-1993649.0,13
2024,8,August,3,8,615371.0,76921.375,-984629.0,7
2024,9,September,3,10,911305.0,91130.5,-1088695.0,10
2024,10,October,4,8,545221.0,68152.625,-1054779.0,8
2024,11,November,4,18,1129114.0,62728.555555555555,-2470886.0,18
2024,12,December,4,8,560221.0,70027.625,-1039779.0,8
